Country,Coffee type,Total_domestic_consumption,Year,Consumption
Country 1,Robusta/Arabica,46500000,1990-91,1344000.0
Country 2,Arabica,75180000,1990-91,1680000.0
Country 3,Arabica/Robusta,27824700000,1990-91,551040000.0
Country 4,Arabica/Robusta,3412020,1990-91,134400.0
Country 5,Arabica/Robusta,381540000,1990-91,23520000.0
Country 6,Robusta/Arabica,4920480000,1990-91,83462400.0
Country 7,Robusta,588705960,1990-91,23520000.0
Country 8,Arabica,2340000,1990-91,134400.0
Country 9,Arabica/Robusta,3608400,1990-91,201600.0
Country 10,Arabica,35100000,1990-91,1008000.0
Country 11,Arabica,402000000,1990-91,12768000.0
Country 12,Arabica,2139960,1990-91,67200.0
Country 13,Arabica,294000,1990-91,0.0
Country 14,Arabica,8595960,1990-91,537600.0
Country 15,Robusta,5360040,1990-91,201600.0
Country 16,Arabica,384006000,1990-91,14313600.0
Country 17,Arabica/Robusta,642823380,1990-91,21504000.0
Country 18,Arabica,600600000,1990-91,14784000.0
Country 19,Robusta/Arabica,2807280000,1990-91,48384000.0
Country 20,Arabica/Robusta,76425060,1990-91,268800.0
Country 21,Arabica,991920,1990-91,100800.0
Country 22,Robusta/Arabica,143450940,1990-91,5597760.0
Country 23,Robusta,24794400,1990-91,1881600.0
Country 24,Arabica,2536776384,1990-91,82992000.0
Country 25,Arabica,665335200,1990-91,25200000.0
Country 26,Robusta,410260140,1990-91,3360000.0
Country 27,Robusta/Arabica,359880000,1990-91,13440000.0
Country 28,Arabica,417242040,1990-91,12096000.0
Country 29,Robusta,0,1990-91,0.0
Country 30,Arabica,4536540000,1990-91,80640000.0
Country 31,Robusta,1123140,1990-91,114240.0
Country 32,Robusta,9970800,1990-91,1142400.0
Country 33,Arabica/Robusta,590880000,1990-91,20160000.0
Country 34,Robusta,86730000,1990-91,1680000.0
Country 35,Robusta,9203040,1990-91,0.0
Country 36,Arabica,471850680,1990-91,12643948.8
Country 37,Robusta/Arabica,2093460000,1990-91,60681600.0
Country 38,Arabica,18688020,1990-91,470400.0
Country 39,Arabica,95190000,1990-91,3360000.0
Country 40,Robusta,157980000,1990-91,0.0
Country 41,Robusta,8640000,1990-91,201600.0
Country 42,Arabica/Robusta,3189660000,1990-91,92332800.0
Country 43,Arabica,0,1990-91,0.0
Country 44,Arabica,299700300,1990-91,2284800.0
Country 45,Robusta,70740000,1990-91,1848000.0
Country 46,Arabica,122916960,1990-91,4233600.0
Country 47,Robusta,10080000,1990-91,604800.0
Country 48,Robusta/Arabica,58300020,1990-91,4480022.4
Country 49,Robusta/Arabica,1248600000,1990-91,12633600.0
Country 50,Robusta,2167620,1990-91,67200.0
Country 51,Robusta,21090000,1990-91,537600.0
Country 52,Robusta/Arabica,284816400,1990-91,4704000.0
Country 53,Arabica,2386067999,1990-91,52576608.0
Country 54,Robusta/Arabica,1920928320,1990-91,10080000.0
Country 55,Arabica,121620000,1990-91,0.0
Country 1,Robusta/Arabica,46500000,1991-92,2016000.0
Country 2,Arabica,75180000,1991-92,1814400.0
Country 3,Arabica/Robusta,27824700000,1991-92,571200000.0
Country 4,Arabica/Robusta,3412020,1991-92,107520.0
Country 5,Arabica/Robusta,381540000,1991-92,23520000.0
Country 6,Robusta/Arabica,4920480000,1991-92,86016000.0
Country 7,Robusta,588705960,1991-92,20160000.0
Country 8,Arabica,2340000,1991-92,134400.0
Country 9,Arabica/Robusta,3608400,1991-92,201600.0
Country 10,Arabica,35100000,1991-92,1008000.0
Country 11,Arabica,402000000,1991-92,12768000.0
Country 12,Arabica,2139960,1991-92,67200.0
Country 13,Arabica,294000,1991-92,0.0
Country 14,Arabica,8595960,1991-92,537600.0
Country 15,Robusta,5360040,1991-92,179222.4
Country 16,Arabica,384006000,1991-92,14313600.0
Country 17,Arabica/Robusta,642823380,1991-92,21504000.0
Country 18,Arabica,600600000,1991-92,22176000.0
Country 19,Robusta/Arabica,2807280000,1991-92,50400000.0
Country 20,Arabica/Robusta,76425060,1991-92,235200.0
Country 21,Arabica,991920,1991-92,100800.0
Country 22,Robusta/Arabica,143450940,1991-92,5599977.6
Country 23,Robusta,24794400,1991-92,1881600.0
Country 24,Arabica,2536776384,1991-92,85276800.0
Country 25,Arabica,665335200,1991-92,25200000.0
Country 26,Robusta,410260140,1991-92,3360000.0
Country 27,Robusta/Arabica,359880000,1991-92,13440000.0
Country 28,Arabica,417242040,1991-92,12096000.0
Country 29,Robusta,0,1991-92,0.0
Country 30,Arabica,4536540000,1991-92,84940800.0
Country 31,Robusta,1123140,1991-92,67200.0
Country 32,Robusta,9970800,1991-92,1142400.0
Country 33,Arabica/Robusta,590880000,1991-92,20160000.0
Country 34,Robusta,86730000,1991-92,1680000.0
Country 35,Robusta,9203040,1991-92,0.0
Country 36,Arabica,471850680,1991-92,17277120.0
Country 37,Robusta/Arabica,2093460000,1991-92,61600022.4
Country 38,Arabica,18688020,1991-92,739200.0
Country 39,Arabica,95190000,1991-92,3360000.0
Country 40,Robusta,157980000,1991-92,0.0
